routeid,stopid,estimatetime,goback
17501,177724,-3,3
17501,177725,-3,3
17501,177722,-3,3
16581,138158,-4,2
16581,138159,634,1
17501,177723,-3,3
17501,177720,-3,3
16581,138156,411,1
16581,138157,505,1
17501,177721,-3,3
16581,138154,256,1
16983,212553,-3,3
16581,138155,-4,2
16581,138152,90,1
16775,187169,-3,3
16775,187165,-3,3
16775,187166,-3,3
16775,187167,-3,3
16775,187168,-3,3
16775,187172,-3,3
16775,187173,-3,3
16775,187174,-3,3
16775,187175,-3,3
16775,187170,-3,3
16775,187171,-3,3
16775,187176,-3,3
16775,187177,-3,3
16775,187178,-3,3
19048,212593,1918,2
19048,212594,2022,2
19048,212595,2072,2
19048,212596,2155,2
16775,187147,-3,3
16775,187148,-3,3
16775,187149,-3,3
16775,187143,-3,3
16775,187144,-3,3
16775,187145,-3,3
16775,187146,-3,3
16775,187150,-3,3
16775,187151,-3,3
16775,187152,-3,3
16775,187153,-3,3
16775,187158,-3,3
16775,187159,-3,3
16775,187154,-3,3
16775,187155,-3,3
16775,187156,-3,3
16775,187157,-3,3
16775,187162,-3,3
16775,187163,-3,3
16775,187164,-3,3
19048,212597,2225,2
19048,212598,2365,2
19048,212599,2505,2
16775,187129,-3,3
16775,187125,-3,3
16775,187126,-3,3
16775,187127,-3,3
16775,187128,-3,3
17693,187121,-3,3
16775,187130,-3,3
16775,187131,-3,3
16775,187136,-3,3
16775,187137,-3,3
16775,187138,-3,3
16775,187139,-3,3
16775,187132,-3,3
16775,187133,-3,3
16775,187134,-3,3
16775,187135,-3,3
16775,187140,-3,3
16775,187141,-3,3
16775,187142,-3,3
17693,187107,-3,3
17693,187108,-3,3
17693,187109,-3,3
17693,187103,-3,3
17693,187104,-3,3
17693,187105,-3,3
17693,187106,-3,3
17693,187100,-3,3
17693,187101,-3,3
17693,187102,-3,3
17693,187118,-3,3
17693,187119,-3,3
17693,187114,-3,3
17693,187115,-3,3
17693,187116,-3,3
17693,187117,-3,3
17693,187110,-3,3
17693,187111,-3,3
17693,187112,-3,3
17693,187113,-3,3
17693,187120,-3,3
15224,192893,1395,1
15224,192894,1468,1
15224,192895,1567,1
16732,192897,343,0
16732,192898,590,0
16732,192899,792,0
15224,192890,-3,3
15224,192891,-3,3
15224,192892,1226,1
16731,177299,1274,2
16613,177292,554,0
16613,177293,364,1
16479,128310,6309,2
16479,128311,78,0
16479,128312,161,0
16479,128313,287,0
16479,128314,473,0
16479,128304,5822,2
16479,128305,5897,2
16479,128306,5974,2
16479,128307,6029,2
16479,128308,6079,2
16479,128309,6170,2
16479,128300,5568,2
16479,128301,5613,2
16479,128302,5691,2
16479,128303,5724,2
17532,192804,-3,3
17532,192805,-3,3
17532,192806,-3,3
17532,192807,-3,3
17532,192808,-3,3
16990,192809,-3,3
18014,202828,-3,3
18014,202829,-3,3
18014,202826,-3,3
18014,202827,-3,3
16975,202824,-3,3
17941,202825,1018,0
16976,202823,-3,3
17575,202835,-3,3
17845,202833,2406,0
17845,202834,553,1
10329,202831,1390,1
16243,202830,633,1
17530,202844,-4,2
17530,202843,-4,2
18068,202873,-3,3
18068,202883,-3,3
18068,202888,-3,3
18068,202889,-3,3
18068,202886,-3,3
18068,202887,-3,3
18068,202884,-3,3
18068,202885,-3,3
18068,202893,-3,3
18068,202894,-3,3
16757,192873,-3,3
18068,202891,-3,3
16719,192874,24,0
18068,202892,-3,3
18068,202890,-3,3
18068,202899,-3,3
18068,202897,-3,3
18068,202898,-3,3
18068,202895,-3,3
16758,192886,3071,2
15224,192888,-3,3
15224,192889,-3,3
16479,128296,5437,2
16479,128297,5465,2
16479,128298,5511,2
16479,128299,5544,2
17835,192857,-3,3
17835,192858,-3,3
17835,192859,-3,3
16479,128293,5252,2
16479,128294,5326,2
16479,128295,5362,2
17835,192850,-3,3
17835,192851,-3,3
17835,192852,-3,3
17835,192853,-3,3
17835,192854,-3,3
17835,192855,-3,3
